Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail;Newsletter;Eintragsdatum
1;Herr;;Sigmar;Weihs;02.09.1989;Trimbornstraße;74;52080;Aachen;0241/86706446;;;sigmar_weihs@anymail.none;;03.12.1996
2;Frau;;Kirsten;Wohlleben;;Heider Hof;19;55413;Trechtingshausen;;0154/1948969;;k1996@domain.none;ja;01.05.2012
3;Frau;;Gottholde;Schauerte;23.11.1910;Kirchplatz;55;85084;Reichertshofen;08453/27847256;0166/5375448;;;;12.02.1953
4;Frau;;Tanja;Felsch;;Martin-Niemöller-Straße;88;54309;Newel;06505/25522799;;;t.1960@ultramail.none;;17.10.2025
5;Frau;;Elselotte;Wiegert;;Molkereiweg;153;55595;Sommerloch;0671/17223372;;;ewiegert@company.none;ja;01.01.1949
6;Herr;;Florentin;Dargel;08.04.2007;Klosterhof;124;66894;Wiesbach;;0174/5278895;;florentindargel@ultramail.none;;20.01.2011
7;k.A.;;Augustinus;Dotterweich;28.06.1973;Hinterdorf;16;67744;Medard;06382/66408689;;06382/35781000;augustinus.dotterweich@mymail.none;;02.02.1994
8;Frau;Dr.;Fridegund;Siebel;;Auf dem Keiertstück;44;89299;Unterroth;;;;fridegund_siebel@anymail.none;ja;02.02.2024
9;Frau;;Bertlinde;Lensing;;Reuterstraße;144;25560;Puls;;0158/5072411;;bertlinde-lensing@xyz.none;ja;28.10.1968
10;Herr;;Raymund;Latz;;Jakob-Kneip-Straße;18;31008;Elze;05068/85309106;;;raymund.latz@funmail.none;ja;29.06.1954
11;Herr;;Mathis;Karow;21.10.1991;Breierspfad;80;17309;Brietzig;;;;mathis-karow@justmail.none;;03.11.2024
12;Herr;;Othmar;Uhle;25.01.1992;Marschallstraße;82;77716;Haslach;07832/21488297;;;o.uhle@net-mail.none;ja;06.03.2016
13;Frau;;Gerthilde;Herre;;Epgerter Straße;51;58452;Witten;02302/30716710;0151/4058832;;;;23.01.1965
14;Frau;;Birke;Kral;08.06.1915;Luxemburger Allee;184;66501;Großbundenbach;06337/20933786;0175/9199615;;birke.1915@company.none;;11.09.2005
15;Herr;;Helfrid;Schachtner;;Philipp-Reis-Straße;85;91719;Heidenheim;09833/85380903;0174/9245415;;h-schachtner@kitty.none;ja;16.04.1979
16;Herr;;Berni;Gerst;;Hahnstraße;40;54675;Lahr;06564/44942928;0170/7973735;;;;16.01.1979
17;Herr;;Ehrenreich;Weichelt;07.07.2007;Unterdorfstraße;182;54456;Tawern;;;;ehrenreich_weichelt@live-mail.none;ja;05.06.2022
18;Frau;;Borka;Arzt;06.01.2012;Weißdornweg;188;86934;Reichling;08194/12576785;0172/2801868;08194/73917562;borkaarzt@justmail.none;;19.07.2023
19;Frau;Dr.;Birgitta;Gorges;;Kurtrierer Straße;75;91471;Illesheim;09841/76686532;0164/9568820;09841/35637808;;;07.07.1949
20;k.A.;;Claudia;Mörs;31.12.1939;Fichtestraße;70;56414;Salz;06435/20807209;;;c_moers@retromail.none;;04.04.2006
21;Frau;;Ulfrida;Wenderoth;;Notscheider Straße;14;25946;Norddorf;04682/44556103;;;ulfrida_wenderoth@domain.none;;08.05.2022
22;Frau;;Marilen;Hafner;;Bernsteinstraße;4;40235;Düsseldorf;0211/31363381;0150/7211276;;;nein;28.08.2025
23;Herr;;Marc;Knothe;;Weierstraße;156;80807;München;089/7451253;0171/5161858;;marc_17@funmail.none;ja;07.10.2019
24;Herr;;Adolph;Petereit;;Im Ruhrfeld;134;15827;Blankenfelde-Mahlow;03379/32444716;0175/5442968;;adolphpetereit@open-mail.none;ja;10.02.2020
25;Herr;;Ulrich;Pavel;;C.-S.-Schmidt-Straße;17b;58644;Iserlohn;02371/24857135;;;u-pavel@hoster.none;nein;08.11.1961
26;Frau;;Carsta;Herda;04.02.1923;Am Schützenplatz;151a;54429;Waldweiler;06589/47756424;0157/3779174;06589/11220731;c.herda@retromail.none;nein;28.02.1929
